ticker,industry,run_time
XMC,construction__materials,2024-06-19 01:07:47
XMD,construction__materials,2024-06-19 01:07:47
NMK,construction__materials,2024-06-19 01:07:47
NNC,construction__materials,2024-06-19 01:07:47
PVY,construction__materials,2024-06-19 01:07:47
VNE,construction__materials,2024-06-19 01:07:47
TGG,construction__materials,2024-06-19 01:07:47
NTP,construction__materials,2024-06-19 01:07:47
HOM,construction__materials,2024-06-19 01:07:47
HT9,construction__materials,2024-06-19 01:07:47
ICG,construction__materials,2024-06-19 01:07:47
MCI,construction__materials,2024-06-19 01:07:47
DPG,construction__materials,2024-06-19 01:07:47
DCF,construction__materials,2024-06-19 01:07:47
DIC,construction__materials,2024-06-19 01:07:47
H11,construction__materials,2024-06-19 01:07:47
HID,construction__materials,2024-06-19 01:07:47
HAM,construction__materials,2024-06-19 01:07:47
HLY,construction__materials,2024-06-19 01:07:47
HWI,construction__materials,2024-06-19 01:07:47
G30,construction__materials,2024-06-19 01:07:47
L18,construction__materials,2024-06-19 01:07:47
LGC,construction__materials,2024-06-19 01:07:47
LG9,construction__materials,2024-06-19 01:07:47
NAC,construction__materials,2024-06-19 01:07:47
TKC,construction__materials,2024-06-19 01:07:47
VW3,construction__materials,2024-06-19 01:07:47
V12,construction__materials,2024-06-19 01:07:47
VC2,construction__materials,2024-06-19 01:07:47
CCV,construction__materials,2024-06-19 01:07:47
VSI,construction__materials,2024-06-19 01:07:47
REN,construction__materials,2024-06-19 01:07:47
RLC,construction__materials,2024-06-19 01:07:47
TA9,construction__materials,2024-06-19 01:07:47
S27,construction__materials,2024-06-19 01:07:47
SDN,construction__materials,2024-06-19 01:07:47
SDU,construction__materials,2024-06-19 01:07:47
C47,construction__materials,2024-06-19 01:07:47
C71,construction__materials,2024-06-19 01:07:47
CCH,construction__materials,2024-06-19 01:07:47
CCM,construction__materials,2024-06-19 01:07:47
CDV,construction__materials,2024-06-19 01:07:47
AC4,construction__materials,2024-06-19 01:07:47
BCE,construction__materials,2024-06-19 01:07:47
C4G,construction__materials,2024-06-19 01:07:47
PNT,construction__materials,2024-06-19 01:07:47
DBV,construction__materials,2024-06-19 01:07:47
SC5,construction__materials,2024-06-19 01:07:47
